precipitation,delta_surface_storage,delta_storage_canopy,delta_storage_snow,delta_storage_subsurface,evaptranssum,evaporation,surface_runoff,transpiration,deep_drainage,recharge
0,0,0.0134681358806429,0,-0.0606009377306691,-0.014443374362843,0.000975238482200075,0,0,0.0075991425069104,0.0461607734948581
0,0,0.0129121228213406,0,-0.073971431478185,-0.0349202377232009,0.0220081149018603,0,0,0.00748743578514489,0.0390570927440083
0,0,0.011208098931159,0,-0.0631274541037783,-0.0276989511592953,0.0164908522281364,0,0,0.00739742395827324,0.0354314920914569
0,0,0.0104815019660531,0,-0.0570349823706238,-0.0240111031011479,0.0135296011350947,0,0,0.00732213555372873,0.0330294626627058
0,0,0.0112515545952531,0,-0.0528861606057944,-0.0216492548355896,0.0103977002403365,0,0,0.00725738598348995,0.0312412187669638
0,0,0.0114630887973981,0,-0.0487230540206838,-0.0189011575297666,0.00743806873236849,0,0,0.00720051948429157,0.0298317577815929
0,0,0.0118256505006247,0,-0.0452691778041299,-0.0166089607425231,0.00478331024189833,0,0,0.0071497707750771,0.028668085027534
0,0,0.0130963685337496,0,-0.0421976071511381,-0.0145198177123361,0.00142344917858654,0,0,0.00710391869292179,0.0276842965713822
0,0,0.00983299573689081,0,-0.0392267152383283,-0.0123960062009531,0.00256301046406233,0,0,0.0070620881888259,0.0268362337559712
0,0,0.0126864753282292,0,-0.0334907538217522,-0.00740437442976814,-0.00528210089846105,0,0,0.00702363222506951,0.0261014947792908
0,0,0.00682818207481287,0,-0.0320845241039933,-0.00665374294585508,-0.000174439128957699,0,0,0.00698805874766614,0.0254440717670119
0,0,-0.125054175166154,0,-0.0575008652776887,-0.0326568592269978,0.14881301575007,0,0.00889801864308209,0.00695497951253931,0.0248531988229502
0,0,2.19762437388169e-10,0,-0.0735483023740926,-0.0492355103508188,0.0475862721296946,0,0.00164923800136175,0.00692409297413904,0.0243216758950262
0,0,-9.429913477385e-11,0,-0.179499153728102,-0.155672151665925,0.0369759767953939,0,0.11869617496483,0.00689509086720605,0.0238483078302283
0,0,-1.3921741800032e-11,0,-0.17521537818584,-0.151829019978752,0.0358045827385208,0,0.116024437254153,0.00686777928648268,0.0234068932927851
0,0,-1.67139371486631e-11,0,-0.164993525702357,-0.142011726582977,0.0339452675072068,0,0.108066459092484,0.00684199715978398,0.0229996017000587
0,0,-1.45096420452082e-11,0,-0.149855469486738,-0.127247952649965,0.030833010104725,0,0.0964149425597494,0.00681760871828134,0.0226228899277117
0,0,-2.24127149464212e-11,0,-0.111364246738049,-0.0891035167852061,0.0229662475027314,0,0.0661372693048874,0.0067945060571301,0.0222728108963835
0,0,-1.96843352701004e-11,0,-0.0772859009821332,-0.0553493104490558,0.0158090820942945,0,0.0395402283744457,0.00677259307439905,0.0219473391077483
0,0,0.00437138338336798,0,-0.0253231991628127,-0.00369091383967423,-0.000680469543693746,0,0,0.00675179140239359,0.0216483052408639
0,0,0.00536339855380775,0,-0.0263247805937681,-0.00497514571463963,-0.000388252839168117,0,0,0.006732011790072,0.0213651014359935
0,0,-0.00419845885992748,0,-0.0298671027430828,-0.00878335930517898,0.0129188076113441,0,6.30105537623849e-05,0.00671317562233133,0.0210975012866851
0,0,-0.00553632311546918,0,-0.0334988183276437,-0.0126653088360173,0.0180248687932881,0,0.000176763158198411,0.00669521314981897,0.0208441261360493
0,0,1.05132608275634e-11,0,-0.0334490099571667,-0.0128527422521787,0.0128007311409858,0,5.20111006796811e-05,0.00667806214554973,0.0206059792904333
0,0,-1.51245839688924e-12,0,-0.0328987746042912,-0.0125269245490966,0.0123228648397776,0,0.000204059710831474,0.00666166660432421,0.0203810737021418
0,0,-2.48421192747871e-12,0,-0.0318510089782649,-0.0116918845342425,0.0115423936920297,0,0.000149490844696998,0.00664597607445757,0.0201680203917677
0,0,-2.93421490733668e-12,0,-0.0298508208497879,-0.00989383668346547,0.00980415377164274,0,8.96829147569371e-05,0.00663094481290046,0.0199659981284079
0,0,-2.01845469975233e-12,0,-0.0283065904509385,-0.00854182884512675,0.00850238928722389,0,3.94395599213182e-05,0.00661653118373104,0.0197737451394667
0,0,4.1921599464835e-13,0,-0.0282757175177721,-0.00869398737102749,0.00864178851729029,0,5.21988533179851e-05,0.0066026971286737,0.0195901377876869
0,0,0.00610389287541432,0,-0.0248091598314204,-0.00540260974579523,-0.000701283129619079,0,0,0.00658940780950435,0.0194157110861748
0,0,0.00648002969829458,0,-0.0243859001288911,-0.00514627780697046,-0.00133375189132413,0,0,0.00657663120737208,0.0192484214623162
0,0,-0.00697932409588962,0,-0.0280756388892769,-0.00899546647827398,0.0159017303806436,0,7.30601935199942e-05,0.00656433779472075,0.0190872664152478
0,0,-0.00260109958170406,0,-0.0260583718259113,-0.0071317832202975,0.00967379252064957,0,5.90902813519832e-05,0.0065525003488177,0.0189338943656179
0,0,0.00222666157233582,0,-0.0236889554671507,-0.00490959535917737,0.00268293378684155,0,0,0.00654109371046838,0.0187870537717468
0,0,-0.00523016047043418,0,-0.0267508760866804,-0.00811236127703525,0.0130721081981728,0,0.000270413549296594,0.00653009440297491,0.018645047361821
0,0,1.22041338345992e-10,0,-0.0564120727626687,-0.0379092161797645,0.0227964796186177,0,0.0151127364391055,0.00651947330579184,0.0185081676830649
0,0,-1.51931612561954e-11,0,-0.133590816236392,-0.115218755689454,0.0245048762845434,0,0.0907138794201039,0.00650917501845262,0.0183769345237501
0,0,-1.07566822326153e-11,0,-0.115023545009535,-0.0967773392812723,0.02452606534563,0,0.072251273946399,0.0064991963196766,0.0182504587479609
0,0,-8.26920198464434e-12,0,-0.112921366578576,-0.0947970107234077,0.0261476587791006,0,0.0686493519525763,0.00648952512493057,0.0181287182380324
0.039996,0,-8.78222915509926e-11,0,-0.0654262570274113,-0.0474198054115707,0.0310520598239675,0,0.0563637456754255,0.00648015354310062,0.0180126750694103
0.125604,0,9.46726802577713e-07,0,0.037936707190056,0.055831115824322,0.0375864565614528,0,0.0321854808874226,0.00647107909430451,0.0178982372696372
