precipitation,delta_surface_storage,delta_storage_canopy,delta_storage_snow,delta_storage_subsurface,evaptranssum,evaporation,surface_runoff,transpiration,deep_drainage,recharge
0,0,0.0134681358806429,0,-0.0777432696850155,-0.0315859379761661,0.0181178020955232,0,0,0.00759914250691037,0.0461606857196431
0,0,0.012871958207908,0,-0.0861804861820019,-0.0471290042764648,0.0342570460685568,0,0,0.00748743578514465,0.0390570358124134
0,0,0.0112066625605292,0,-0.0730473810094736,-0.0376191150468416,0.0264124524863124,0,0,0.0073974239582721,0.0354313182082654
0,0,0.0104940528573233,0,-0.0656856059722486,-0.0326619971852597,0.0221679443279364,0,0,0.0073221355537242,0.0330288902007903
0,0,0.0112655675421553,0,-0.0607634896159652,-0.029526632998756,0.0182610654566007,0,0,0.007257385983477,0.0312405757545705
0,0,0.0114636031505815,0,-0.0554350638999495,-0.0256126800230835,0.014149076872502,0,0,0.00720051948423465,0.0298300826482078
0,0,0.0118116364717666,0,-0.0510899551309194,-0.0224295761816455,0.0106179397098788,0,0,0.00714977077497964,0.0286664439175224
0,0,0.0130701366821896,0,-0.0472756501117146,-0.019597777708937,0.00652764102674746,0,0,0.00710391869274525,0.0276828142332043
0,0,0.00971852663856725,0,-0.043438033651455,-0.0166090952436954,0.00689056860512819,0,0,0.00706208818852684,0.0268413243502443
0,0,0.0126853812980951,0,-0.0357765554967955,-0.00968870375602822,-0.00299667754206689,0,0,0.00702363222530087,0.0261007301190238
0,0,0.00680192410596679,0,-0.0341360527154393,-0.00870443626755473,0.00190251216158792,0,0,0.00698805874791826,0.0254424760122873
0,0,-0.124857585395726,0,-0.0601308543573396,-0.0352868132886377,0.15115565123817,0,0.00898874744619347,0.00695497946619265,0.0248519961322526
0,0,2.19264209741019e-10,0,-0.0789409487983903,-0.054628413707955,0.0529345539901344,0,0.0016938594985564,0.00692409238818979,0.0243214020007762
0,0,-9.42759811313168e-11,0,-0.183824157547406,-0.159996043473916,0.0419757033326831,0,0.118020340235509,0.00689509034875066,0.0238418971421709
0,0,-1.40442395225208e-11,0,-0.179723982765154,-0.156336284144176,0.041270317351134,0,0.115065966807086,0.00686777938602759,0.0234006924123265
0,0,-1.67717526730482e-11,0,-0.169927857610674,-0.14694558326097,0.0400219039753925,0,0.106923679302349,0.00684199838251584,0.0229943229949011
0,0,-1.46151971769007e-11,0,-0.155282090919627,-0.13267450776034,0.0373569935033236,0,0.0953175142716312,0.00681761144310093,0.0226187445456615
0,0,-2.22951926806799e-11,0,-0.117776780653003,-0.0955225575635765,0.0302547071096663,0,0.0652678504762054,0.00679451091263954,0.0222759414781771
0,0,-1.95677818246276e-11,0,-0.0838217478767547,-0.0618890226595197,0.0229392780069654,0,0.0389497446721221,0.00677260011001227,0.0219508316890262
0,0,0.00431840430994312,0,-0.0286165406582768,-0.00698273679248776,0.00266433248254464,0,0,0.00675179976819708,0.0216456488462098
0,0,0.00533411686620616,0,-0.0295163411574322,-0.00816622776586401,0.00283211089965785,0,0,0.00673202144336687,0.0213617842035635
0,0,-0.00232271629341875,0,-0.0329881061475135,-0.0119043058527809,0.0141917207858805,0,3.53013603191283e-05,0.00671318650162485,0.0210939063702087
0,0,-0.00732904740743064,0,-0.0391608988716143,-0.0183289535956526,0.0255088087580748,0,0.000149192245008468,0.00669522532187835,0.0208420818014615
0,0,-7.57502596509253e-07,0,-0.0390376177506369,-0.0184425330931636,0.0184154876953471,0,2.7802900413047e-05,0.00667807540180038,0.0206042799761278
0,0,-1.43568750998608e-12,0,-0.0380882206536626,-0.0177173286407763,0.0175146488747519,0,0.000202679767460105,0.00666168079799186,0.0203793960717137
0,0,-2.46688310798765e-12,0,-0.0366566034194875,-0.0164982569651256,0.0163491889511176,0,0.000149068016474861,0.00664599108658541,0.0201662375463602
0,0,-2.91491299011491e-12,0,-0.0338006315050734,-0.0138440109079886,0.0137543833067,0,8.96276042034654e-05,0.00663096050649546,0.0199637643809395
0,0,-1.96306831733026e-12,0,-0.031748436838825,-0.0119839354933259,0.0119427263456586,0,4.12091496303678e-05,0.00661654747425103,0.0197712452090137
0,0,4.5088809480374e-13,0,-0.0318068980795942,-0.0122256447587095,0.0121712505648254,0,5.43941934331644e-05,0.00660271398037132,0.0195877766473976
0,0,0.00610262470543185,0,-0.0269043043654165,-0.00749773164453738,0.00139510693910554,0,0,0.00658942509844459,0.0194133051780811
0,0,0.00647811917409702,0,-0.0264033007028956,-0.00716373512344474,0.000685615949347719,0,0,0.00657664888829268,0.0192461144875676
0,0,-0.00706517110875472,0,-0.0315697615178578,-0.0124903719373382,0.0194817477530133,0,7.37952930795593e-05,0.00656435594507344,0.0190854221370228
0,0,-0.00272326062269214,0,-0.0287152470109504,-0.00978882755907215,0.0124499532170598,0,6.21349647044773e-05,0.00655251881368114,0.0189317309951242
0,0,0.00221393206186984,0,-0.025377754262081,-0.00659845614721414,0.00438452408534429,0,0,0.00654111242573767,0.0187850410263028
0,0,-0.00500624421201962,0,-0.0292503612577093,-0.0106123438500621,0.0153406826914239,0,0.000277905370657825,0.00653011340535278,0.0186431889633268
0,0,1.25809082939494e-10,0,-0.0537169408066802,-0.0352163139116734,0.0264512464308747,0,0.00876506735498959,0.00651949642506136,0.0185080731110332
0,0,-1.92693885897906e-11,0,-0.137124208806654,-0.118752425251836,0.0283749254543325,0,0.0903774998167729,0.00650920156999095,0.0183759608866796
0,0,-1.08830999262522e-11,0,-0.119556049035509,-0.101314031851437,0.0294869678860067,0,0.071827063976313,0.0064992261179502,0.018251596881745
0,0,-8.36834382639757e-12,0,-0.117704894901635,-0.0995802760561064,0.0314547341697185,0,0.0681255418947562,0.00648955775340074,0.0181285200921102
0.039996,0,-8.72882493409556e-11,0,-0.0707439224011068,-0.0527381806501778,0.0369002737025739,0,0.0558339070348921,0.006480188844906,0.0180125071179309
0.125604,0,1.61270772965353e-06,0,0.0317190777868745,0.0496167868122786,0.0441651189532926,0,0.0318204815266992,0.00647111676899301,0.0179010127656027
0.238392,0,-1.61270772965365e-06,0,0.140336840501277,0.158111441907506,0.0633374989875356,0,0.0169446718126882,0.00646233373064936,0.0177882621452117
0.496008,0,0.00215194498294505,0,0.376685113077201,0.394364880197285,0.0967379542399922,0,0.00275322057977717,0.00645383142942502,0.0176800290620633
0.396792,0,0.0144747986247616,0,0.284840945500036,0.302407960491821,0.0796344845815966,0,0.000274756301820411,0.00644559626179115,0.0175782894535169
0.251208,0,0.00639870914973296,0,0.16458885914426,0.182066078485613,0.0626863808154651,0,5.68315491893637e-05,0.0064376145085462,0.0174782774451791
0.074412,0,-0.00777720604523324,0,0.0160509159036337,0.0334314841622417,0.0486902348767572,0,6.74870062343184e-05,0.00642987358933531,0.0173823794187215
0,0,-0.00899657514837765,0,-0.0440756245789089,-0.0267885363383208,0.0357087292140611,0,7.63822726374064e-05,0.00642236182866975,0.0172888607629625
0.001584,0,-0.00623614738607226,0,-0.0435411062712774,-0.0263461517041768,0.0340478339120296,0,0.000118465178219475,0.00641506835899574,0.017200189187035
0.000792,0,-1.5507202819928e-05,0,-0.0451703058861312,-0.0280629321368839,0.0286733456253352,0,0.000197093714368675,0.00640798302381454,0.0171122206738107
0.001584,0,-1.69749365176271e-08,0,-0.0453412471911179,-0.0283194815185381,0.0296864898620961,0,0.000217008631378562,0.00640109634411731,0.0170264766760409
0.003204,0,-9.85638338623185e-22,0,-0.0392493452350209,-0.022310811774081,0.025286710786114,0,0.000228100987967019,0.00639439943019975,0.0169429656830605
0,0,1.17359092179069e-11,0,-0.0382333055999879,-0.0213761188344444,0.0213514762508379,0,2.46425718705134e-05,0.00638788403900678,0.0168616388979456
0.090396,0,0.00108834238813527,0,0.0455222655559737,0.0623019337003495,0.0268933526983485,0,0.000112371213166766,0.00638154215958946,0.016780814395247
0.625608,0.00185956486689139,0.0601212245670201,0,0.515024836422072,0.533715276446279,0.0317516066036328,0.000127895763828021,1.98923830682237e-05,0.00637536643133695,0.0167026553419309
1.039212,0.00864586107082931,0.074983855561903,0,0.898234955837779,0.92838842619918,0.0358397182389171,0.00488020553024238,1.52237296593688e-22,0.00636934981804112,0.0166273979125394
0.262404,-0.00680683088000362,0.00935824091279353,0,0.218486087764177,0.228625645062543,0.0244201140246634,0.00039216932974433,5.46660749876193e-23,0.00636348565189929,0.016554177214497
0.028008,-0.00351820808562432,-0.00492553878789742,0,-0.00708948835927004,0.00587508244468179,0.0270583429990624,0,1.13344153209448e-07,0.00635776761718151,0.0164827888842598
