precipitation,delta_surface_storage,delta_storage_canopy,delta_storage_snow,delta_storage_subsurface,evaptranssum,evaporation,surface_runoff,transpiration,deep_drainage,recharge
0,0,1.19608837977225e-10,0,-0.0671188372939469,-0.127369943126312,0.0509479771309159,0,0,0.0283054575187813,0.0161703532554282
0,0,-1.9391914805621e-11,0,-0.0684923836793132,-0.130789342184303,0.0508234516369698,0,0.0014922852561434,0.0282665704702632,0.0161765429287359
0,0,-1.361897727595e-11,0,-0.0668001804656342,-0.126547594246924,0.0493210107672405,0,0.00129802694514793,0.0282277612668709,0.0161812343945039
0,0,-2.07118691543129e-11,0,-0.0628533462809173,-0.11721500612058,0.0458870723133577,0,0.000998930155586025,0.0281893884408897,0.0161838536743979
0,0,-9.05954650233718e-12,0,-0.0599484512504205,-0.109956357198134,0.0431070770513257,0,0.000875465836987291,0.0281510839701093,0.0161867006777216
0,0,-7.58956472442235e-12,0,-0.0573673971439348,-0.103515795346765,0.0406375794737956,0,0.000768738672500065,0.0281128440429885,0.0161893583843658
0,0,-1.04747389470993e-11,0,-0.0542646488802347,-0.0957876697687603,0.0377004269244374,0,0.000614640993541488,0.0280746679855935,0.016191707841194
0.078804,0,-3.87622265669571e-11,0,0.0160986794699056,0.0807182693389828,0.0460803371124912,0,0.000436355190677881,0.0280361603077885,0.0161947639109457
0,0,3.73111033728476e-11,0,-0.0536621389514949,-0.0942320395405409,0.0376925925780132,0,2.23200892083926e-07,0.0279980836004987,0.016195896334295
0,0,9.05741367220176e-12,0,-0.0563735074460965,-0.100974829269868,0.0397214127981315,0,0.00066851890075839,0.0279600420033949,0.0161971310264066
0.025992,0,-4.63685169380748e-11,0,-0.0308342845373772,-0.0366444071875989,0.0401035195824807,0,0.000546243338927389,0.0279216708073486,0.0161988876462826
0,0,3.86451502859289e-11,0,-0.0514926824985196,-0.0888034859192677,0.0354301251217498,0,9.12692073120627e-05,0.0278837223479302,0.0161995269287219
0.022392,0,-3.86451501316437e-11,0,-0.0369641099214277,-0.051928948344506,0.0382198657260855,0,0.00494371365036204,0.0278454208540127,0.0162007206302482
0,0,5.45464785805714e-11,0,-0.0685949554922445,-0.131736711678139,0.0416124421914606,0,0.0110822424252485,0.0278074973562138,0.0162010852769971
0,0,6.34071109456757e-12,0,-0.0839847591082616,-0.17013828287281,0.0447847507523274,0,0.023270562390456,0.0277695644655318,0.0162015395222195
0,0,9.00202044254885e-12,0,-0.0950228241972582,-0.197829341851207,0.0494733891599558,0,0.0296583475715249,0.0277316262475981,0.0162019606803789
0,0,5.15719979409378e-12,0,-0.103992898623346,-0.219477099385931,0.0524944875332778,0,0.0352963522159374,0.0276933193831931,0.0162026822497417
0,0,4.38369264058294e-12,0,-0.110885523440629,-0.236708055237422,0.0551605662742718,0,0.0395226558163132,0.0276549976594988,0.0162029840267278
0,0,1.05823490358848e-11,0,-0.123893722258344,-0.269228328425928,0.059853483226757,0,0.0478378481330316,0.0276166522780962,0.0162031250480885
0,0,4.28379288422088e-12,0,-0.122424921257334,-0.265556110227657,0.0567442714850698,0,0.0494781726017091,0.0275782857363402,0.0162031719317132
0,0,3.35868679725593e-12,0,-0.116913823520918,-0.251778298176548,0.0521873073204615,0,0.0485240119467992,0.027539904424881,0.0162031425780141
0,0,1.80827272064354e-11,0,-0.133897789356524,-0.294238475788977,0.0533448274127398,0,0.0643505628847683,0.0275014878363696,0.016203042593231
0,0,-1.94206925081373e-11,0,-0.104976227737552,-0.221934665443727,0.0420299763051006,0,0.046743889891811,0.0274630698754618,0.0162028746269403
0,0,-2.30519325034439e-11,0,-0.0733626915271088,-0.143433599610014,0.0333495936889516,0,0.0240238461781058,0.0274250004568558,0.0162024647516646
0,0,-5.25635864757688e-11,0,-0.0361753137040068,-0.0508770175881034,0.0199404191035314,0,0.000410387984273485,0.0273871427905253,0.0162021466559625
0,0,-8.66420392719278e-12,0,-0.0335427453746888,-0.0443268254833859,0.0174713329211717,0,0.000259397280846838,0.0273493638443139,0.0162018168591213
0,0,-6.22484193542236e-12,0,-0.0311354433283668,-0.0383300005988216,0.0151968514443853,0,0.000135148801368226,0.027311655752487,0.016201439849993
0,0,0.0096409307800457,0,-0.0251101522148929,-0.0233457995870718,-0.000302610945216961,0,0,0.0272740298693477,0.0162010045762641
0,0,0.00973035372419963,0,-0.0226940001743969,-0.0173150412599015,-0.00280433722023902,0,0,0.0272364614044221,0.0162005085048118
0,0,0.00874787413903957,0,-0.0218638374062721,-0.0152236200297609,-0.00265842612713523,0,0,0.0271989408935506,0.016199952321278
0,0,0.00895608403703039,0,-0.0227911193364889,-0.0174996010214165,-0.00195624362846377,0,0,0.027161459995303,0.0161993376764428
0,0,0.00863879674636691,0,-0.0234469264046311,-0.0191033760566824,-0.000997446323693904,0,0,0.0271240177612479,0.016198666538688
0,0,0.00166642896380903,0,-0.0280295873908472,-0.0304592280201285,0.0105172622442423,0,0,0.0270865949681005,0.0161979404966755
0,0,-0.00177238941920399,0,-0.0299765200638831,-0.0352722804608358,0.0158765615944014,0,4.74000913694989e-06,0.0270492010300237,0.0161971615393138
0,0,-0.000755876251651015,0,-0.0296611000167104,-0.0344735062218721,0.0145431520499674,0,2.12669043244742e-06,0.0270118469585495,0.0161963316601914
0,0,4.58329223347251e-05,0,-0.0294796429475355,-0.0340078481286318,0.013557306329118,0,0,0.0269745311460537,0.0161954525468486
0,0,-0.0130347173547324,0,-0.0313183967837176,-0.0385631634764318,0.0280428833304894,0,0.000417099414815708,0.0269372427965715,0.0161945256103717
0,0,-0.031863318293051,0,-0.0426414413227576,-0.0667490547704236,0.0508088846622498,0,0.00775405553897062,0.0268999352101865,0.0161935514287541
0,0,7.87867448253278e-11,0,-0.0473437694372478,-0.0783379239279838,0.0298933842706124,0,0.00144178522179442,0.0268626315079935,0.0161925319780438
0,0,9.98800124490895e-12,0,-0.114373235926905,-0.245455825378855,0.0344479554260728,0,0.0637343747154812,0.0268249236569077,0.0161915726051278
0.130392,0,-8.87747441977868e-11,0,-0.0172212612942531,-0.00257822694961535,0.0636644132681709,0,0.06775887760045,0.0267871636725747,0.016190463422347
0.149184,0,-4.02666115938858e-19,0,-0.0716844688486162,-0.138743586108849,0.122706355707719,0,0.0819750787358211,0.0267493455051994,0.016189133640184
0.111816,0,1.20063891488819e-18,0,-0.126258749002318,-0.275308114969139,0.125806868901444,0,0.0961323770862113,0.0267114548403805,0.0161878442977513
0.2466,0,4.4577136594798e-19,0,0.0404032059391284,0.141474307110195,0.106687227786095,0,0.0833230493698267,0.0266735208163668,0.0161866283079944
0,0,2.15611719957349e-10,0,-0.188632082960339,-0.431123009826038,0.112279700112281,0,0.0601695036025224,0.0266355813282924,0.0161853184631393
0,0,-7.96842978970437e-11,0,-0.163153627409883,-0.367426315973717,0.0308565571893753,0,0.116113969279796,0.0265975682647677,0.0161839054520502
0,0,-2.2742711666771e-11,0,-0.12006511114987,-0.259708176347115,0.0248159801827383,0,0.0790672903788503,0.0265595467846267,0.0161825350142021
0,0,-2.54297946022659e-11,0,-0.0735564057085867,-0.143902990526978,0.0204860455591109,0,0.0370751506771102,0.0265218828001405,0.0161811477456419
0,0,-8.49905835492622e-11,0,-0.0231656980608932,-0.0182146630939217,0.0071812402758187,0,0.000104625046740555,0.0264844452030547,0.0161798316719244
0,0,1.00153016779968e-12,0,-0.0239815120457934,-0.0202308318132064,0.00795628903889802,0,0.000136043685382997,0.0264471037377152,0.0161785042857849
0,0,1.10519278800452e-12,0,-0.0246640342911633,-0.0219170360548884,0.00859808971353868,0,0.000168724707311485,0.0264098511596469,0.0161771428120287
0,0,-7.57707883200429e-13,0,-0.0251590757738995,-0.0231374901644613,0.00911829012143604,0,0.000136705945106168,0.0263726815562332,0.0161757433728342
0,0,-1.1339937746964e-12,0,-0.0249610080963976,-0.0226373717092582,0.00895730374626872,0,9.7644938568537e-05,0.0263355922169672,0.0161743083321577
0,0,8.23925605530723e-12,0,-0.0288292764143989,-0.0322388920153888,0.0126059831434754,0,0.000289573654440822,0.026298561543906,0.0161728408633019
0,0,6.6267076423768e-12,0,-0.0320470265796757,-0.040226243686375,0.0156985741963597,0,0.000391923271563541,0.0262615879534686,0.0161713448817065
0,0,4.94244422289168e-12,0,-0.0336959615451633,-0.0443201319770113,0.0172643474119181,0,0.000463705373943907,0.0262246751219784,0.0161698240760427
0,0,5.26268353064023e-12,0,-0.0353507641125361,-0.0484309369354821,0.0188395627713435,0,0.000532811997586708,0.0261878205533466,0.0161682813854742
0,0,1.13861653465778e-11,0,-0.0380546739243073,-0.0551548185159936,0.0213665858731353,0,0.000695341521875972,0.0261510191174881,0.0161667191906123
0,0,5.74604104842443e-12,0,-0.0401827997170585,-0.0604523330201812,0.0234395349600576,0,0.000741398242268819,0.0261142720445778,0.0161651397704799
0,0,5.47710296000326e-12,0,-0.0421782430244093,-0.0654257102465337,0.0253885310681622,0,0.000781753024974178,0.0260775792359198,0.0161635450640388
0,0,8.62397776278729e-12,0,-0.0571259698790527,-0.102804441303745,0.0281492976741823,0,0.0129724788386919,0.026040911545539,0.0161619360534434
0,0,2.88001051340932e-11,0,-0.0883542609271899,-0.181165119604712,0.0328093148260436,0,0.039656732987041,0.0260042461518061,0.0161603146330662
0,0,2.89123609900415e-11,0,-0.123861227241832,-0.269258436277762,0.0397568898360627,0,0.0679464846461299,0.0259672311342491,0.0161586946923201
0,0,3.91015625418096e-11,0,-0.161882217367292,-0.364315780042593,0.0486909746575951,0,0.0970353373203407,0.0259301498721018,0.0161569135247144
0.141408,0,-1.56097761522375e-10,0,-0.0448395254361458,-0.0717182923342786,0.0752690116059165,0,0.0948263054838927,0.0258930169772742,0.016155159950385
0.049212,0,-3.66920298858125e-19,0,-0.21681935077504,-0.501831487056209,0.121765907413888,0,0.128178687408595,0.0258557946294237,0.0161534102681458
0.117504,0,2.71247670789101e-19,0,-0.0997413762302131,-0.208995316431302,0.0796385829447003,0,0.121463543627821,0.0258185083035391,0.0161516767295373
0.056988,0,8.9364542701839e-21,0,-0.193129289925764,-0.442458751868763,0.103311976108029,0,0.130659524639476,0.0257811564543219,0.0161499257103627
0.0126,0,7.47770952902129e-20,0,-0.18565038357292,-0.42376021964962,0.050965638322726,0,0.131138449537122,0.0257437521335478,0.0161481578646005
0.010584,0,-2.19468803400096e-19,0,-0.162036571953195,-0.364728113362156,0.0418226999577913,0,0.114652545387071,0.0257063271763627,0.0161464495191319
0.309492,0,1.12625607493343e-19,0,0.174266699941654,0.476021498073411,0.0705364093356422,0,0.0485469914349935,0.0256689821442339,0.0161447896414448
0.489312,0,2.27224925209723e-05,0,0.319107337340483,0.838126202322128,0.139221168713607,0,0.0148176278650204,0.0256317601055216,0.0161431087524163
0.778788,0.00514287669733883,0.00673580644657528,0,0.60096650244941,1.56025755480579,0.147895143512748,0.00185226234098672,5.40281183610935e-05,0.0255946737679732,0.0161414343593628
0.626904,0.00483460658932772,-0.00675852893909626,0,0.458970568680343,1.20629142533323,0.151058440946001,0.00257165415631169,8.75178598039016e-05,0.0255577126769331,0.0161397400413805
0.708192,0.00567383556187537,0,0,0.532277005745982,1.39326710017527,0.150817264028684,0.00321793728703119,6.78959012076798e-05,0.0255208679029214,0.0161380462108909
1.677996,0.0357333882210006,0.0587530585682981,0,1.37020380807917,3.65706574471646,0.156416643545118,0.0407527427731164,5.44901669790099e-22,0.0254841318118799,0.016136356643031
0.828792,-0.0107000444078139,0.0106497184085841,0,0.641740931044751,1.69657204033035,0.139513465459275,0.0314532691952612,7.94452853380865e-22,0.025447497701397,0.0161346719340013
0.811008,0.00255918253237406,0.0104654227307618,0,0.62763303040083,1.69356249584913,0.123117578929585,0.0310995839190943,5.74392795070004e-22,0.0254109597522517,0.0161329921494546
0.7938,0.00464032675451627,0.0138046997247881,0,0.609709731029398,1.69278857466385,0.102879870409673,0.046634054702344,3.00830010272547e-22,0.0253745129012554,0.0161313175092305
1.123704,0.0205422057188731,0.00194698108449318,0,0.865962091595065,2.55198994933486,0.10096103918156,0.118162029354334,2.90662673395321e-22,0.0253381527420362,0.016129648411512
0.3762,-0.0362747520803197,-0.00731631266470686,0,0.274215799683589,0.713685948573259,0.0980385791766102,0.0314053739177626,3.35405879306305e-06,0.0253018754583741,0.0161279849519227
0.522792,0.00467023962589703,0.0198272131062751,0,0.360779949217886,1.04660649464889,0.0843221890341681,0.0370662172719078,3.75215903772414e-22,0.0252656778366479,0.0161263272430155
0.156204,-0.0261838525419607,-0.0158186468677317,0,0.10446686169189,0.244503023075975,0.0742149354474717,0.0033942513347852,6.50218987020641e-06,0.0252295573315857,0.0161246765533164
0.250992,0.00319180926655776,0.00143654549128336,0,0.160071369645721,0.460617464101394,0.0653014278237992,0.00486085077270622,7.04104435975124e-06,0.0251935123124898,0.0161230325445483
0.157608,-0.00556212579447595,-0.005717032537532,0,0.0908712028203809,0.258037749589086,0.0598736237306188,0.00178422313698036,0.000236308971278963,0.0251575421063412,0.0161213957686792
0.025596,-0.00823766541603731,-0.0798402307515111,0,-0.0528734293743582,-0.11247845487782,0.147805772398572,0,0.00262184030406717,0.0251216448388665,0.0161197666535231
0.036396,-3.00307271532905e-05,-0.00819141629300201,0,-0.137195073714793,-0.302767389104156,0.120187034943944,0,0.0455073369907199,0.0250857650564565,0.016118143825487
0.016812,0,-1.20642132647478e-19,0,-0.177267438894887,-0.402877909547077,0.123076460222895,0,0.0548867035959352,0.0250499030406273,0.0161165129939433
0.025596,0,8.67361737988406e-20,0,-0.162057581214867,-0.364856979012911,0.112470367805801,0,0.0590684237993638,0.0250140700421983,0.0161149048915911
0,0,1.07639861145073e-10,0,-0.148118666339997,-0.330013521688215,0.100615460940324,0,0.0313899476273223,0.0249783247636708,0.0161133098698352
0.007704,0,3.44149779937028e-07,0,-0.138887188072204,-0.306938756252164,0.0787787176192571,0,0.0517004407318287,0.0249426566701307,0.0161117263760556
0.007992,0,-3.44257419798313e-07,0,-0.129294745834613,-0.282961299079276,0.0737564205114501,0,0.0474204433776802,0.0249070956929391,0.016110150601522
0.007596,0,5.92040095399657e-20,0,-0.118303059636673,-0.255485969493325,0.0680486329403113,0,0.0417417548570188,0.0248716749303473,0.0161085847492295
0,0,6.06635763845524e-11,0,-0.0875922952832298,-0.178713003746857,0.0590075257377355,0,0.0124776757003438,0.0248364607910239,0.0161070294366401
0,0,-1.46373247135571e-11,0,-0.0823580807932558,-0.165631391502162,0.0495823963678825,0,0.0166701602476196,0.0248014696359323,0.0161054847767058
0,0,-9.43772225361212e-12,0,-0.0674950821439779,-0.128477759711751,0.0435244194827052,0,0.00786668441143292,0.0247667374733299,0.0161039510615626
0,0,-1.43698298270343e-11,0,-0.0537546532759734,-0.0941305110830229,0.0372825983755692,0,0.000369606072009778,0.0247322970476584,0.0161024284711794
0,0,-8.1971424556199e-13,0,-0.0528785214764866,-0.0919439495725517,0.0364271508835121,0,0.000350428946328301,0.0246981689847478,0.0161009171506234
0,0,-5.92715125989706e-13,0,-0.0524280994059154,-0.0908216370375318,0.0359940844801061,0,0.000334570335499324,0.024664372493715,0.0160994173393662
0,0,-1.539392407509e-12,0,-0.0520084692648197,-0.0897762781915831,0.0356064182887386,0,0.000304092989434079,0.0246309246684001,0.016097929228527
0,0,-4.04516573758376e-13,0,-0.0497507598824996,-0.0841356984092038,0.0333478719138285,0,0.000306407450257525,0.0245978398223286,0.0160964530008103
0,0,-2.41304507197438e-13,0,-0.0479718086517096,-0.0796919827988505,0.0315663138107158,0,0.00031047930906568,0.0245651290653584,0.0160949888004702
0,0,-1.47843326999556e-12,0,-0.0463184127211207,-0.0755621248012141,0.0299321720651346,0,0.000292677856829495,0.0245328000034608,0.016093536776654
0,0,-1.02246420383749e-13,0,-0.0443803468497208,-0.0707205616139638,0.0279868968772083,0,0.000301327768479466,0.0245008564716157,0.0160920970723648
0,0,-4.92492897081142e-14,0,-0.0426782017834739,-0.0664687687381452,0.0262760945609979,0,0.00031141293430945,0.0244692985029914,0.0160906698142825
0,0,-2.01292637263933e-12,0,-0.0406625658824851,-0.0614332174821229,0.0242866359811675,0,0.000286651013694613,0.0244381224294287,0.016089255125454
0,0,8.45116052541925e-13,0,-0.0401506825373872,-0.0601570141956819,0.0237562037976043,0,0.000306601879823398,0.0244073209260625,0.0160878531079817
0,0,8.48762563265981e-13,0,-0.0397216998894692,-0.0590832817619801,0.0233064674551781,0,0.000326845248765232,0.0243768757822755,0.0160864193734855
0,0,5.2118676471001e-12,0,-0.04434127090326,-0.0706343864883212,0.023906736957332,0,0.00434701763278464,0.0243467757878246,0.0160850400369726
0,0,1.5910606368267e-11,0,-0.0593389330756509,-0.108125053340105,0.0293776503251033,0,0.0138723709950281,0.0243169918714165,0.0160836816318103
0,0,1.56943514192677e-11,0,-0.0737970015006795,-0.144266155353235,0.0368677610205431,0,0.0208387011050567,0.0242874986539334,0.0160823368006142
0,0,1.7554286116425e-11,0,-0.0903513082444078,-0.185651108335144,0.0468681759181992,0,0.0273922673983042,0.0242582702434193,0.0160810044012673
0,0,1.22927265678874e-11,0,-0.106314000573093,-0.225563661423018,0.0553278415988331,0,0.0348976229580812,0.02422927854449,0.0160796847438951
0,0,1.04891498393003e-11,0,-0.122105767959056,-0.26505246266703,0.0634948047902182,0,0.0425261802661045,0.0242004947567667,0.0160783780321663
0,0,1.00592322742403e-11,0,-0.134265022051295,-0.295459329239705,0.0695684117443991,0,0.0486153199414235,0.0241718919963757,0.016077084241407
