precipitation,delta_surface_storage,delta_storage_canopy,delta_storage_snow,delta_storage_subsurface,evaptranssum,evaporation,surface_runoff,transpiration,deep_drainage,recharge
0,0,1.1960883388652e-10,0,-0.0667745820819619,-0.127529672177299,0.0510118687513107,0,0,0.0278362685895989,0.0157628686930974
0,0,-1.93923482199441e-11,0,-0.0681411307441522,-0.130940123938048,0.0508837694856909,0,0.00149228010892059,0.0277982862464588,0.0157653894708909
0,0,-1.36179528202859e-11,0,-0.0664429999405911,-0.126690131563537,0.0493780188516212,0,0.00129803378741156,0.0277603944003225,0.0157673249480274
0,0,-2.07110985730194e-11,0,-0.0627092968693432,-0.117351962606665,0.0459418390896449,0,0.000998945973732041,0.0277225869107439,0.0157689349006278
0,0,-9.05882907950319e-12,0,-0.0598032527955183,-0.110083483881795,0.0431579031335167,0,0.000875490428260234,0.0276848580476537,0.0157703212035374
0,0,-7.58906928753623e-12,0,-0.0572253169884789,-0.103635702096869,0.0406855114801911,0,0.000768769366145616,0.0276472026631088,0.0157715333001088
0,0,-1.04746120710736e-11,0,-0.0541326572906655,-0.0959014755474442,0.0377459165541146,0,0.000614673675337698,0.0276096162351831,0.0157725999467538
0.078804,0,-3.87649238162334e-11,0,0.016474925001603,0.0806058583427129,0.0461252722543215,0,0.000436384447358213,0.0275720945664393,0.0157735911592775
0,0,3.73104076172308e-11,0,-0.053520091748851,-0.0943656739853346,0.0377382151888775,0,8.05436794600616e-06,0.0275346347310947,0.0157743802489196
0,0,9.06136699642724e-12,0,-0.0562113650312313,-0.101092055157181,0.0397682649824622,0,0.000668557071348893,0.0274972321523689,0.0157750939294633
0.025992,0,-4.63717746154979e-11,0,-0.0304556709629651,-0.0367555033991665,0.0401479178215686,0,0.000546283584469761,0.0274598864714333,0.0157757171322002
0,0,3.86833005346435e-11,0,-0.0512696175428573,-0.0887348551195675,0.0354794371228066,0,1.4504886337128e-05,0.0274225909583277,0.0157762537787734
