precipitation,delta_surface_storage,delta_storage_canopy,delta_storage_snow,delta_storage_subsurface,evaptranssum,evaporation,surface_runoff,transpiration,deep_drainage,recharge
0,0,1.19608834653527e-10,0,-0.0668414547831162,-0.127499722980239,0.0509998890724866,0,0,0.0279247564378127,0.0158413563477075
0,0,-1.93922668854919e-11,0,-0.0682105956730084,-0.130911854322429,0.0508724606743419,0,0.00149228107402186,0.0278871124133162,0.0158459314713136
0,0,-1.36181450773988e-11,0,-0.0665146121541511,-0.12666341075899,0.0493673318128043,0,0.00129803250440998,0.0278495495398095,0.0158494572847413
0,0,-2.07112430410723e-11,0,-0.0627826266436387,-0.11732629193484,0.0459315737869947,0,0.000998943007652643,0.0278120616364427,0.015852399863516
0,0,-9.05896353187279e-12,0,-0.0598783532936977,-0.110059390137073,0.0431482702463434,0,0.000875485817544874,0.0277746429654553,0.015854943788599
0,0,-7.58916144522141e-12,0,-0.0573018896743633,-0.103612743326525,0.040676333718356,0,0.000768763619842996,0.0277372883980984,0.0158571806415647
0,0,-1.04746351506038e-11,0,-0.0542105370172976,-0.0958794722550485,0.0377371213473626,0,0.000614667565131445,0.0276999934453656,0.0158591655455928
0.078804,0,-3.8764419470876e-11,0,0.0163961857779213,0.0806277855399677,0.0461165068400952,0,0.000436378982682162,0.0276627537793641,0.0158610270176663
0,0,3.73035799252557e-11,0,-0.0536118061936577,-0.0943743087809291,0.0377280224899149,0,2.17009851531338e-05,0.0276255669366586,0.0158625448994388
0,0,9.06757225191764e-12,0,-0.0562910616063164,-0.10106897785791,0.0397590413575011,0,0.000668549776595473,0.0275884282110326,0.0158639473717813
0.025992,0,-4.63711521661342e-11,0,-0.030536425389073,-0.0367334974107152,0.0401391230167213,0,0.000546275993935968,0.027551337292983,0.0158652120649905
0,0,3.86655005759314e-11,0,-0.0513864033118807,-0.0888013526172434,0.0354678770691046,0,5.26639391272514e-05,0.0275142874664965,0.0158663498942366
0.022392,0,-3.8665500235032e-11,0,-0.0366653393757588,-0.0520150331375205,0.0382538918543178,0,0.00494412143935587,0.0274772736617807,0.0158673614572645
0,0,5.38944221134513e-11,0,-0.0699388766333868,-0.135178318518119,0.0415420485353423,0,0.0125292788180109,0.0274402801189996,0.0158682605115069
0,0,6.99535267063016e-12,0,-0.0838996121042328,-0.170077566183328,0.0447585518838289,0,0.023272474582507,0.0274032918833097,0.0158690504265611
0,0,9.00390624651744e-12,0,-0.0949827852982708,-0.197783838676353,0.0494520301512954,0,0.0296615053102418,0.0273663016061389,0.0158697367983312
0,0,5.15771803041179e-12,0,-0.103669579244979,-0.219499418265098,0.0524993504791256,0,0.0353004168217559,0.0273293035410257,0.0158703243508869
0,0,4.38402706767116e-12,0,-0.110575372499625,-0.236762714556803,0.0551778944126154,0,0.039527191405722,0.0272922946032499,0.0158708167697541
0,0,1.05828167496137e-11,0,-0.123584977845894,-0.269285815121727,0.0598712632007856,0,0.0478430628373223,0.0272552661134653,0.0158712170162209
0,0,4.28327164663412e-12,0,-0.122113163318772,-0.265605411805344,0.0567599504137609,0,0.0494822143040935,0.0272182198847173,0.0158715277025599
0,0,3.35766658026027e-12,0,-0.116600487277083,-0.251823041846659,0.0522018181640429,0,0.0485273985712631,0.027181161448175,0.0158717509322156
0,0,1.80830296027417e-11,0,-0.133584118449107,-0.294281782719859,0.0533577455917294,0,0.0643549674781312,0.0271440714791492,0.0158718885743537
0,0,-1.94222263671442e-11,0,-0.104659865529356,-0.221970744930425,0.0420414029459047,0,0.0467468950456874,0.0271069810207581,0.0158719425171641
0,0,-2.30522933228466e-11,0,-0.0732575447646013,-0.14346521400042,0.0333605620851502,0,0.0240255235380702,0.0270699255727663,0.0158719143361084
0,0,-5.25625675349535e-11,0,-0.0358636150854181,-0.050901651228607,0.0199502127497054,0,0.000410447794299996,0.027033384802249,0.0158716357686891
0,0,-8.6627475633409e-12,0,-0.0332330883034047,-0.0443542108436523,0.0174821940836061,0,0.000259490262517542,0.0269969183435505,0.0158714248027749
0,0,-6.22353359528485e-12,0,-0.0308275821744246,-0.038360127449762,0.0152087602369009,0,0.000135290749227418,0.0269605193868899,0.0158711887997794
0,0,0.00962056093115371,0,-0.0248111554856223,-0.0233942444151487,-0.00026286316509424,0,0,0.0269241989723254,0.0158708946376328
0,0,0.00973032793538462,0,-0.0223799533941929,-0.0173251568955147,-0.00280026517717874,0,0,0.0268879340450105,0.0158705313463341
0,0,0.00874804950328103,0,-0.0215493364976282,-0.0152326059592143,-0.00265500711959528,0,0,0.0268517158071411,0.0158700963774339
0,0,0.00895616775347813,0,-0.0224769882142937,-0.017510339595228,-0.00195203191538693,0,0,0.0268155364556787,0.0158695902374472
0,0,0.0086387418072251,0,-0.0231331890527144,-0.0191157083216453,-0.000992458478566978,0,0,0.0267793950511126,0.0158690145828675
0,0,0.00164977462646432,0,-0.0277253480635409,-0.030498013201478,0.0105494306541269,0,0,0.0267432733260457,0.0158683711025401
0,0,-0.00177993854054929,0,-0.0296700692806553,-0.0353066747973198,0.0158978454140334,0,4.76304544385757e-06,0.0267071799878742,0.0158676619570415
0,0,-0.000763156974493348,0,-0.0293549682628509,-0.034508372703997,0.0145643577537847,0,2.14830230747593e-06,0.0266711254012916,0.015866889396121
