runname,amended.pixels,type,type.short,size,downspout.key,frontwalk.key,driveway.key,sidewalk.key,amended.area.m2
amend_pixels_TWI_0,0,TWI,t,n,0,0,0,0,0
amend_pixels_TWI_0.25,6,TWI,t,n,0,0,0,0,1.5
amend_pixels_TWI_0.5,12,TWI,t,n,0,0,0,0,3
amend_pixels_TWI_1,25,TWI,t,n,0,0,0,0,6.25
amend_pixels_TWI_2.5,62,TWI,t,n,0,0,0,0,15.5
amend_pixels_TWI_5,124,TWI,t,n,0,0,0,0,31
amend_pixels_TWI_10,248,TWI,t,n,0,0,0,0,62
amend_pixels_TWI_25,620,TWI,t,n,0,0,0,0,155
amend_pixels_TWI_50,1240,TWI,t,n,0,0,0,0,310
amend_pixels_TWI_100,2480,TWI,t,n,0,0,0,0,620
amend_pixels_drain_0.25,6,drain,d,n,0,0,0,0,1.5
amend_pixels_drain_0.5,12,drain,d,n,0,0,0,0,3
amend_pixels_drain_1,25,drain,d,n,0,0,0,0,6.25
amend_pixels_drain_2.5,62,drain,d,n,0,0,0,0,15.5
amend_pixels_drain_5,124,drain,d,n,0,0,0,0,31
amend_pixels_drain_10,248,drain,d,n,0,0,0,0,62
amend_pixels_drain_25,620,drain,d,n,0,0,0,0,155
amend_pixels_drain_50,1240,drain,d,n,0,0,0,0,310
amend_pixels_rand_0.25,6,rand,r,n,0,0,0,0,1.5
amend_pixels_rand_0.5,12,rand,r,n,0,0,0,0,3
amend_pixels_rand_1,25,rand,r,n,0,0,0,0,6.25
amend_pixels_rand_2.5,62,rand,r,n,0,0,0,0,15.5
amend_pixels_rand_5,124,rand,r,n,0,0,0,0,31
amend_pixels_rand_10,248,rand,r,n,0,0,0,0,62
amend_pixels_rand_25,620,rand,r,n,0,0,0,0,155
amend_pixels_rand_50,1240,rand,r,n,0,0,0,0,310
amend_feature_ds1_fw0_dw0_sw0,4,downspout,ds,s,1,0,0,0,1
amend_feature_ds3_fw0_dw0_sw0,36,downspout,ds,l,3,0,0,0,9
amend_feature_ds0_fw1_dw0_sw0,12,frontwalk,fw,s,0,1,0,0,3
amend_feature_ds0_fw2_dw0_sw0,24,frontwalk,fw,l,0,2,0,0,6
amend_feature_ds0_fw0_dw1_sw0,18,driveway,dw,s,0,0,1,0,4.5
amend_feature_ds0_fw0_dw2_sw0,36,driveway,dw,l,0,0,2,0,9
amend_feature_ds0_fw0_dw0_sw1,38,sidewalk,sw,s,0,0,0,1,9.5
amend_feature_ds0_fw0_dw0_sw2,76,sidewalk,sw,l,0,0,0,2,19
amend_feature_ds0_fw0_dw0_sw4,152,nix,n,n,0,0,0,4,38
amend_feature_ds1_fw1_dw1_sw1,72,all,a,s,1,1,1,1,18
amend_feature_ds3_fw1_dw1_sw1,104,all,a,l,3,1,1,1,26
amend_feature_ds1_fw0_dw0_sw4,156,nix,n,n,1,0,0,4,39
amend_feature_ds3_fw0_dw0_sw4,188,nix,n,n,3,0,0,4,47
,,,,,,,,,
 ,,,,,,,,,
